Experiment: 8 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_002

  [107/144] DeepSeek-V4-Pro/C/甘露歌  2.57s 1err 226tok
  [69/144] gpt-5.4/C/大椿  5.41s 86err 276tok
  [70/144] gpt-5.4/C/四槛花  5.95s 1err 288tok
  [108/144] DeepSeek-V4-Pro/C/隔帘听  1.51s 1err 175tok
  [109/144] DeepSeek-V4-Pro/C/钿带长中调  2.33s 55err 206tok
  [43/144] Qwen3.5-27B/C/琵琶仙  5.69s 1err 277tok
  [110/144] DeepSeek-V4-Pro/C/韵令  1.95s 1err 189tok
  [71/144] gpt-5.4/C/如鱼水  6.04s 1err 300tok
  [44/144] Qwen3.5-27B/C/霜叶飞  44.94s 1err 271tok
  [111/144] DeepSeek-V4-Pro/C/浣溪沙  1.71s 3err 173tok
  [72/144] gpt-5.4/C/小圣乐  5.69s 1err 266tok
  [112/144] DeepSeek-V4-Pro/C/浪淘沙  1.95s 1err 188tok
  [113/144] DeepSeek-V4-Pro/C/菩萨蛮  1.37s 18err 178tok
  [14/144] DeepSeek-V3.2-reasoner/C/木兰花慢  93.85s 1err 10699tok
  [114/144] DeepSeek-V4-Pro/C/竹香子  0.65s 1err 133tok
  [45/144] Qwen3.5-27B/C/石州慢  4.81s 1err 269tok
  [46/144] Qwen3.5-27B/C/选冠子  4.57s 1err 283tok
  [115/144] DeepSeek-V4-Pro/C/鹧鸪天  2.15s 2err 187tok
  [73/144] gpt-5.4/C/恋芳春慢  6.33s 1err 290tok
  [116/144] DeepSeek-V4-Pro/C/破字令  2.24s 4err 185tok
  [74/144] gpt-5.4/C/惜寒梅  5.82s 1err 264tok
  [75/144] gpt-5.4/C/征部乐  7.68s 1err 302tok
  [117/144] DeepSeek-V4-Pro/C/生查子  1.49s 6err 171tok
  [76/144] gpt-5.4/C/无闷  5.79s 1err 321tok
  [118/144] DeepSeek-V4-Pro/C/荷叶铺水面  1.91s 1err 178tok
  [119/144] DeepSeek-V4-Pro/C/醉高歌  1.71s 12err 184tok
  [120/144] DeepSeek-V4-Pro/C/荔子丹  2.05s 4err 186tok
  [47/144] Qwen3.5-27B/C/绛都春  40.41s 1err 274tok
  [48/144] Qwen3.5-27B/C/法曲献仙音  34.73s 1err 301tok
  [121/144] DeepSeek-V4-Pro/C/七律平起首句入韵  1.93s 0err 186tok
  [122/144] DeepSeek-V4-Pro/C/七律仄起首句入韵  2.03s 0err 185tok
  [123/144] DeepSeek-V4-Pro/C/五律仄起  1.68s 0err 168tok
  [124/144] DeepSeek-V4-Pro/C/七绝仄起首句入韵  0.99s 1err 138tok
  [125/144] DeepSeek-V4-Pro/C/七绝平起首句入韵  1.15s 13err 147tok
  [77/144] gpt-5.4/C/早梅芳慢  5.52s 1err 277tok
  [126/144] DeepSeek-V4-Pro/C/七绝平起  1.18s 12err 145tok
  [8/144] gemini-3.1-pro-preview/C/满庭芳  68.52s 3err 8107tok
  [9/144] gemini-3.1-pro-preview/C/水龙吟  73.47s 3err 8115tok
  [127/144] DeepSeek-V4-Pro/C/五律平起  1.66s 0err 168tok
  [49/144] Qwen3.5-27B/C/甘露滴乔松  2.5s 72err 252tok
  [50/144] Qwen3.5-27B/C/意难忘  2.75s 1err 263tok
  [78/144] gpt-5.4/C/春雪间早梅  6.13s 1err 288tok
  [79/144] gpt-5.4/C/望南云慢  6.15s 1err 291tok
  [128/144] DeepSeek-V4-Pro/C/五绝仄起  1.0s 1err 140tok
  [80/144] gpt-5.4/C/望明河  5.61s 1err 228tok
  [17/144] claude-opus-4-6/C/忆旧游  30.82s 1err 1551tok
  [15/144] DeepSeek-V3.2-reasoner/C/八声甘州  86.39s 1err 4688tok
  [18/144] claude-opus-4-6/C/琐窗寒  32.06s 1err 1859tok
  [14/144] MiniMax-M2.5/C/瑞鹤仙  82.47s Noneerr 8233tok
  [51/144] Qwen3.5-27B/C/倦寻芳  5.36s 1err 262tok
  [129/144] DeepSeek-V4-Pro/C/五律仄起首句入韵  1.98s 0err 170tok
  [130/144] DeepSeek-V4-Pro/C/七律仄起  2.18s 13err 182tok
  [131/144] DeepSeek-V4-Pro/C/七绝仄起  1.62s 1err 145tok
